date,article_count,sentiment_sum,sentiment_mean,sentiment_sum_lag1,sentiment_mean_lag1
2018-08-26,13,0,0.0,0.0,0.0
2018-08-27,58,31,0.5344827586206896,0.0,0.0
2018-08-28,48,21,0.4375,31.0,0.5344827586206896
2018-08-29,42,10,0.23809523809523808,21.0,0.4375
2018-08-30,33,6,0.18181818181818182,10.0,0.23809523809523808
2018-08-31,44,13,0.29545454545454547,6.0,0.18181818181818182
2018-09-01,12,-1,-0.08333333333333333,13.0,0.29545454545454547
2018-09-16,7,1,0.14285714285714285,-1.0,-0.08333333333333333
2018-09-17,29,10,0.3448275862068966,1.0,0.14285714285714285
2018-09-18,64,25,0.390625,10.0,0.3448275862068966
2018-09-19,38,4,0.10526315789473684,25.0,0.390625
2018-09-20,74,7,0.0945945945945946,4.0,0.10526315789473684
2018-09-21,30,1,0.03333333333333333,7.0,0.0945945945945946
2018-09-22,8,1,0.125,1.0,0.03333333333333333
2018-09-23,15,2,0.13333333333333333,1.0,0.125
2018-09-24,36,2,0.05555555555555555,2.0,0.13333333333333333
2018-09-25,63,2,0.031746031746031744,2.0,0.05555555555555555
2018-09-26,58,2,0.034482758620689655,2.0,0.031746031746031744
2018-09-27,29,5,0.1724137931034483,2.0,0.034482758620689655
2018-09-28,40,4,0.1,5.0,0.1724137931034483
2018-09-29,8,0,0.0,4.0,0.1
2018-09-30,9,2,0.2222222222222222,0.0,0.0
2018-10-01,54,8,0.14814814814814814,2.0,0.2222222222222222
2018-10-02,28,4,0.14285714285714285,8.0,0.14814814814814814
2018-10-03,22,2,0.09090909090909091,4.0,0.14285714285714285
2018-10-04,55,4,0.07272727272727272,2.0,0.09090909090909091
2018-10-05,56,20,0.35714285714285715,4.0,0.07272727272727272
2018-10-06,25,7,0.28,20.0,0.35714285714285715
2018-10-07,2,0,0.0,7.0,0.28
2018-10-14,20,4,0.2,0.0,0.0
2018-10-15,58,6,0.10344827586206896,4.0,0.2
2018-10-16,58,13,0.22413793103448276,6.0,0.10344827586206896
2018-10-17,49,2,0.04081632653061224,13.0,0.22413793103448276
2018-10-18,30,4,0.13333333333333333,2.0,0.04081632653061224
2018-10-19,26,2,0.07692307692307693,4.0,0.13333333333333333
2018-10-20,7,1,0.14285714285714285,2.0,0.07692307692307693
2018-10-21,2,0,0.0,1.0,0.14285714285714285
2018-11-04,12,0,0.0,0.0,0.0
2018-11-05,136,1,0.007352941176470588,0.0,0.0
2018-11-06,58,1,0.017241379310344827,1.0,0.007352941176470588
2018-11-07,16,0,0.0,1.0,0.017241379310344827
2018-11-08,9,0,0.0,0.0,0.0
2018-11-09,17,0,0.0,0.0,0.0
2018-11-10,2,0,0.0,0.0,0.0
2018-11-11,37,5,0.13513513513513514,0.0,0.0
